year	eqdgccellcode	kingdomkey	kingdom	familykey	family	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	familycount
2024	E008N54BA	1	Animalia	9379	Leporidae	2436940	Oryctolagus cuniculus	1	50	86400	45524
2024	E008N55BA	1	Animalia	5298	Cervidae	2440958	Cervus elaphus	3	317	86400	34858
2024	E008N55DD	1	Animalia	9456	Sciuridae	8211070	Sciurus vulgaris	1	26	86400	15823
2024	E008N56CB	1	Animalia	5298	Cervidae	5220136	Dama dama	1	65	86400	34858
2024	E008N57DC	1	Animalia	5298	Cervidae	5220126	Capreolus capreolus	1	1000	1	34858
2024	E009N55AB	1	Animalia	5298	Cervidae	2440958	Cervus elaphus	1	50	86400	34858
2024	E009N55BD	1	Animalia	5307	Mustelidae	2433753	Lutra lutra	1	3	86400	23427
2024	E009N56AA	1	Animalia	5307	Mustelidae	2433753	Lutra lutra	1	109	86400	23427
2024	E009N56BD	1	Animalia	5307	Mustelidae	2433875	Meles meles	1	8	1	23427
2024	E009N56DB	1	Animalia	5307	Mustelidae	5218887	Martes foina	1	3	1	23427
2024	E009N57DB	1	Animalia	5298	Cervidae	5220126	Capreolus capreolus	1	14	1	34858
2024	E010N55AD	1	Animalia	5298	Cervidae	5220126	Capreolus capreolus	2	62	60	34858
2024	E010N55DB	1	Animalia	9379	Leporidae	7952072	Lepus europaeus	2	20	86400	45524
2024	E010N56CA	1	Animalia	9379	Leporidae	7952072	Lepus europaeus	7	23.37	86400	45524
2024	E010N56DC	1	Animalia	5307	Mustelidae	2433875	Meles meles	1	780	86400	23427
2024	E010N57CC	1	Animalia	5298	Cervidae	5220126	Capreolus capreolus	8	3.54	60	34858
2024	E011N54BD	1	Animalia	5310	Phocidae	2434806	Halichoerus grypus	7	50	86400	39284
2024	E011N55BB	1	Animalia	9456	Sciuridae	8211070	Sciurus vulgaris	5	9	1	15823
2024	E011N55DC	1	Animalia	5310	Phocidae	2434793	Phoca vitulina	1	20.83	86400	39284
2024	E012N55AB	1	Animalia	9368	Vespertilionidae	2432359	Eptesicus serotinus	1	65	86400	16848
2024	E012N55AD	1	Animalia	5722	Erinaceidae	5219616	Erinaceus europaeus	1	370	86400	3807
2024	E012N55CA	1	Animalia	5298	Cervidae	5220136	Dama dama	1	738	1	34858
2024	E012N56CD	1	Animalia	9701	Canidae	5219243	Vulpes vulpes	1	570	86400	9311
2023	E008N54BA	1	Animalia	5307	Mustelidae	5218823	Mustela vison	2	840	86400	23427
2023	E008N55AB	1	Animalia	9701	Canidae	5219243	Vulpes vulpes	3	9	1	9311
