speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
2432359,"Eptesicus serotinus (Schreber, 1774)",SPECIES,ACCEPTED,Animalia,"2432359: Eptesicus serotinus (Schreber, 1774)"
2432389,"Myotis nattereri (Kuhl, 1817)",SPECIES,ACCEPTED,Animalia,"2432389: Myotis nattereri (Kuhl, 1817)"
2432416,"Myotis myotis (Borkhausen, 1797)",SPECIES,ACCEPTED,Animalia,"2432416: Myotis myotis (Borkhausen, 1797)"
2432427,"Myotis bechsteinii (Kuhl, 1817)",SPECIES,ACCEPTED,Animalia,"2432427: Myotis bechsteinii (Kuhl, 1817)"
2432439,"Myotis daubentonii (Kuhl, 1817)",SPECIES,ACCEPTED,Animalia,"2432439: Myotis daubentonii (Kuhl, 1817)"
2432452,"Myotis dasycneme (Boie, 1825)",SPECIES,ACCEPTED,Animalia,"2432452: Myotis dasycneme (Boie, 1825)"
2432564,"Vespertilio murinus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2432564: Vespertilio murinus Linnaeus, 1758"
2432582,"Barbastella barbastellus (Schreber, 1774)",SPECIES,ACCEPTED,Animalia,"2432582: Barbastella barbastellus (Schreber, 1774)"
2433451,"Ursus maritimus Phipps, 1774",SPECIES,ACCEPTED,Animalia,"2433451: Ursus maritimus Phipps, 1774"
2433536,"Nasua nasua (Linnaeus, 1766)",SPECIES,ACCEPTED,Animalia,"2433536: Nasua nasua (Linnaeus, 1766)"
2433753,"Lutra lutra (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2433753: Lutra lutra (Linnaeus, 1758) | 7193959: Lutra lutra lutra"
2433875,"Meles meles (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2433875: Meles meles (Linnaeus, 1758) | 7193983: Meles meles meles | 10225007: Meles meles danicus Degerbol, 1933"
2434552,"Nyctereutes procyonoides (Gray, 1834)",SPECIES,ACCEPTED,Animalia,"2434552: Nyctereutes procyonoides (Gray, 1834) | 6164332: Nyctereutes procyonoides ussuriensis Matschie, 1907"
2434793,"Phoca vitulina Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2434793: Phoca vitulina Linnaeus, 1758 | 7193945: Phoca vitulina vitulina"
2434801,"Pagophilus groenlandicus (Erxleben, 1777)",SPECIES,ACCEPTED,Animalia,"2434802: Phoca groenlandica Erxleben, 1777"
2434806,"Halichoerus grypus (Fabricius, 1791)",SPECIES,ACCEPTED,Animalia,"2434806: Halichoerus grypus (Fabricius, 1791) | 7059307: Halichoerus grypus grypus | 9915299: BOLD:ABY8426 | 10415207: Halichoerus grypus atlantica Nehring, 1886"
2435035,"Felis catus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2435035: Felis catus Linnaeus, 1758 | 8625722: Felis domesticus"
2435767,"Neomys fodiens (Pennant, 1771)",SPECIES,ACCEPTED,Animalia,"2435767: Neomys fodiens (Pennant, 1771)"
2436412,"Lemur catta Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2436412: Lemur catta Linnaeus, 1758"
2436436,"Homo sapiens Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2436436: Homo sapiens Linnaeus, 1758"
2436940,"Oryctolagus cuniculus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2436940: Oryctolagus cuniculus (Linnaeus, 1758)"
2437450,"Tamias sibiricus (Laxmann, 1769)",SPECIES,ACCEPTED,Animalia,"2437450: Tamias sibiricus (Laxmann, 1769)"
2437756,"Apodemus flavicollis (Melchior, 1834)",SPECIES,ACCEPTED,Animalia,"2437756: Apodemus flavicollis (Melchior, 1834)"
2437760,"Apodemus sylvaticus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2437760: Apodemus sylvaticus (Linnaeus, 1758)"
2437761,"Apodemus agrarius (Pallas, 1771)",SPECIES,ACCEPTED,Animalia,"2437761: Apodemus agrarius (Pallas, 1771)"
2438482,"Mesocricetus auratus (Waterhouse, 1839)",SPECIES,ACCEPTED,Animalia,"2438482: Mesocricetus auratus (Waterhouse, 1839)"
2438606,"Microtus arvalis (Pallas, 1779)",SPECIES,ACCEPTED,Animalia,"2438606: Microtus arvalis (Pallas, 1779)"
2438616,"Microtus agrestis (Linnaeus, 1761)",SPECIES,ACCEPTED,Animalia,"2438616: Microtus agrestis (Linnaeus, 1761)"
2439261,"Rattus norvegicus (Berkenhout, 1769)",SPECIES,ACCEPTED,Animalia,"2439261: Rattus norvegicus (Berkenhout, 1769)"
2439270,"Rattus rattus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2439270: Rattus rattus (Linnaeus, 1758)"
2439449,"Sicista betulina (Pallas, 1779)",SPECIES,ACCEPTED,Animalia,"2439449: Sicista betulina (Pallas, 1779)"
