speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1032945,"Limnichus sericeus (Duftschmid, 1825)",SPECIES,ACCEPTED,Animalia,"1032945: Limnichus sericeus (Duftschmid, 1825)"
1033452,"Dryops luridus (Erichson, 1847)",SPECIES,ACCEPTED,Animalia,"8669516: Parnus prolifericornis Fabricius, 1792 | 8718980: Parnus luridus Erichson, 1847"
1033746,"Simplocaria semistriata (Fabricius, 1794)",SPECIES,ACCEPTED,Animalia,"5743506: Byrrhus rufipes Kugelann, 1792"
1033938,"Helophorus aquaticus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1033938: Helophorus aquaticus (Linnaeus, 1758)"
1033951,"Helophorus grandis (Illiger, 1798)",SPECIES,ACCEPTED,Animalia,"1033951: Helophorus grandis (Illiger, 1798)"
1033999,"Enochrus melanocephalus (A.G.Olivier, 1793)",SPECIES,ACCEPTED,Animalia,"1033999: Enochrus melanocephalus (A.G.Olivier, 1793)"
1034064,"Anacaena limbata (Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,"1034064: Anacaena limbata (Fabricius, 1792)"
1034074,"Anacaena lutescens (Stephens, 1829)",SPECIES,ACCEPTED,Animalia,"1034074: Anacaena lutescens (Stephens, 1829)"
1034242,"Cryptopleurum minutum (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"1034242: Cryptopleurum minutum (Fabricius, 1775) | 11267672: Cryptopleurum atomarium"
1034243,"Cryptopleurum crenatum (Kugelann, 1794)",SPECIES,ACCEPTED,Animalia,"1034243: Cryptopleurum crenatum (Kugelann, 1794)"
1034329,"Sphaeridium scarabaeoides (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1034329: Sphaeridium scarabaeoides (Linnaeus, 1758)"
1034330,"Sphaeridium bipustulatum Fabricius, 1781",SPECIES,ACCEPTED,Animalia,"1034330: Sphaeridium bipustulatum Fabricius, 1781"
1034338,"Megasternum concinnum (Marsham, 1802)",SPECIES,ACCEPTED,Animalia,"11281564: Megasternum obscurum (Marsham, 1802)"
1034421,"Cercyon melanocephalus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1034421: Cercyon melanocephalus (Linnaeus, 1758)"
1034424,"Cercyon quisquilius (Linnaeus, 1760)",SPECIES,ACCEPTED,Animalia,"1034424: Cercyon quisquilius (Linnaeus, 1760)"
1034425,"Cercyon tristis (Illiger, 1801)",SPECIES,ACCEPTED,Animalia,"1034425: Cercyon tristis (Illiger, 1801)"
1034428,"Cercyon marinus C.G.Thomson, 1853",SPECIES,ACCEPTED,Animalia,"4434271: Cercyon aquaticus Laporte de Castelnau, 1840"
1034437,"Cercyon haemorrhoidalis (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"1034437: Cercyon haemorrhoidalis (Fabricius, 1775)"
