kingdom	kingdomkey	phylum	phylumkey	class	classkey	order	orderkey	family	familykey	genus	genuskey	species	specieskey	year	eeacellcode	kingdomcount	phylumcount	classcount	ordercount	familycount	genuscount	occurrences	mintemporaluncertainty	mincoordinateuncertaintyinmeters
Plantae	6	Bryophyta	35	Bryopsida	327	Scouleriales	12213836	Flexitrichaceae	10052785	Flexitrichum	10235154	Flexitrichum gracile	10480089	2016	1kmE5088N2259	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Scouleriales	12213836	Flexitrichaceae	10052785	Flexitrichum	10235154	Flexitrichum gracile	10480089	2024	1kmE5129N2209	3	3	3	1	1	1	1	1	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Neckeraceae	4665	Pseudanomodon	10772849	Pseudanomodon attenuatus	10742591	2023	1kmE5078N2150	3	3	3	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Neckeraceae	4665	Pseudanomodon	10772849	Pseudanomodon attenuatus	10742591	2024	1kmE5078N2150	4	4	4	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Neckeraceae	4665	Pseudanomodon	10772849	Pseudanomodon attenuatus	10742591	2016	1kmE5089N2258	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Neckeraceae	4665	Pseudanomodon	10772849	Pseudanomodon attenuatus	10742591	2024	1kmE5105N2249	2	2	2	2	2	1	1	1	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Heterocladiellaceae	10704937	Heterocladiella	10880457	Heterocladiella dimorpha	10743377	2016	1kmE5060N2270	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Orthotrichales	1341	Orthotrichaceae	4668	Pulvigera	10967738	Pulvigera lyellii	11081927	2007	1kmE5018N2197	1	1	1	1	1	1	1	31536000	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Orthotrichales	1341	Orthotrichaceae	4668	Pulvigera	10967738	Pulvigera lyellii	11081927	2004	1kmE5060N2271	2	2	2	1	1	1	1	31622400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum subsecundum	2668981	2016	1kmE5060N2271	4	4	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum subsecundum	2668981	2021	1kmE5060N2271	2	2	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum subsecundum	2668981	2004	1kmE5060N2272	2	2	1	1	1	1	1	86400	100.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum squarrosum	2669113	2016	1kmE5061N2272	2	2	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum contortum	2669208	2021	1kmE5112N2245	4	4	2	2	2	2	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum teres	12245166	2021	1kmE5112N2245	4	4	2	2	2	2	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum fallax	2669002	2021	1kmE5144N2216	2	2	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum platyphyllum	2669200	2021	1kmE5144N2217	2	2	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum platyphyllum	2669200	2021	1kmE5145N2216	2	2	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum platyphyllum	2669200	2021	1kmE5145N2217	4	4	2	2	2	2	1	86400	1000.0
Plantae	6	Bryophyta	35	Sphagnopsida	190	Sphagnales	623	Sphagnaceae	4673	Sphagnum	2668958	Sphagnum subsecundum	2668981	2021	1kmE5145N2217	4	4	2	2	2	2	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Encalyptales	12240643	Encalyptaceae	8770	Encalypta	2670399	Encalypta vulgaris	5280176	2016	1kmE5060N2271	4	4	3	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Encalyptales	12240643	Encalyptaceae	8770	Encalypta	2670399	Encalypta streptocarpa	5280149	2024	1kmE5061N2272	4	4	4	1	1	1	1	1	1.0
Plantae	6	Bryophyta	35	Bryopsida	327	Encalyptales	12240643	Encalyptaceae	8770	Encalypta	2670399	Encalypta streptocarpa	5280149	2024	1kmE5085N2152	1	1	1	1	1	1	1	60	8.0
Plantae	6	Bryophyta	35	Bryopsida	327	Encalyptales	12240643	Encalyptaceae	8770	Encalypta	2670399	Encalypta streptocarpa	5280149	2024	1kmE5129N2209	3	3	3	1	1	1	1	1	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Barbula	2670791	Barbula unguiculata	5280516	2016	1kmE5089N2259	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Syntrichia	2671247	Syntrichia montana	7846682	2023	1kmE5023N2189	2	2	2	2	2	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Syntrichia	2671247	Syntrichia ruralis	2671271	2023	1kmE5082N2149	1	1	1	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Syntrichia	2671247	Syntrichia montana	7846682	2024	1kmE5085N2150	1	1	1	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Pottiales	621	Pottiaceae	4671	Pleurochaete	2671791	Pleurochaete squarrosa	2671792	2016	1kmE5063N2182	5	5	5	2	2	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Orthotrichales	1341	Orthotrichaceae	4668	Orthotrichum	2672620	Orthotrichum anomalum	12254365	2025	1kmE5063N2271	1	1	1	1	1	1	1	60	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Orthotrichales	1341	Orthotrichaceae	4668	Orthotrichum	2672620	Orthotrichum anomalum	12254365	2023	1kmE5073N2160	2	2	2	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Orthotrichales	1341	Orthotrichaceae	4668	Orthotrichum	2672620	Orthotrichum anomalum	12254365	2024	1kmE5085N2151	1	1	1	1	1	1	1	60	15.0
Plantae	6	Bryophyta	35	Bryopsida	327	Orthotrichales	1341	Orthotrichaceae	4668	Orthotrichum	2672620	Orthotrichum anomalum	12254365	2025	1kmE5105N2216	1	1	1	1	1	1	1	1	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Diphysciales	12226524	Diphysciaceae	4280416	Diphyscium	2672969	Diphyscium foliosum	2682864	2024	1kmE5105N2248	4	4	4	1	1	1	1	1	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Hypnaceae	8751	Hypnum	2673041	Hypnum cupressiforme	2681972	2024	1kmE5081N2195	1	1	1	1	1	1	1	1	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Funariales	1338	Funariaceae	4645	Funaria	2673071	Funaria hygrometrica	5281229	2021	1kmE5058N2166	1	1	1	1	1	1	1	1	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Funariales	1338	Funariaceae	4645	Funaria	2673071	Funaria hygrometrica	5281229	2024	1kmE5076N2151	1	1	1	1	1	1	1	60	2.0
