year,eea_cell_code,speciesKey,n,min_coord_uncertainty
1809,1kmE7022N2801,4431691,1,1000
1849,1kmE5216N3202,4458870,1,1000
1850,1kmE5997N3236,8062927,1,1000
1870,1kmE4974N3583,1347914,1,1000
1873,1kmE5217N3201,8707896,1,1000
1881,1kmE4427N2684,11712270,1,1000
1881,1kmE4427N2685,11712270,1,1000
1881,1kmE4769N3129,5141501,1,1000
1884,1kmE4791N3258,4458681,1,1000
1884,1kmE6420N3254,1143384,1,1000
1885,1kmE4059N2263,1347914,1,1000
1886,1kmE4784N2752,8401448,1,1000
1887,1kmE5206N3617,1136138,1,1000
1893,1kmE4790N3258,4458666,1,1000
1894,1kmE5216N3201,1129494,1,1000
1894,1kmE5216N3201,1143384,1,1000
1894,1kmE5216N3201,4431541,1,1000
1894,1kmE5217N3202,4292492,1,1000
1894,1kmE6190N3289,8401448,1,1000
1895,1kmE5736N2837,7879157,1,1000
1895,1kmE5737N2836,1119288,1,1000
1895,1kmE5737N2836,8550501,1,1000
1895,1kmE5737N2838,1121459,1,1000
1895,1kmE5738N2837,8423878,1,1000
1895,1kmE6258N3326,8961343,1,1000
1896,1kmE6382N3741,5820507,1,1000
1897,1kmE5580N4519,4458916,1,1000
1898,1kmE4790N3257,4458666,1,1000
1898,1kmE4814N3270,1047210,1,1000
1898,1kmE6542N2874,7649338,1,1000
1898,1kmE6542N2874,8996498,1,1000
1898,1kmE6542N2875,7933619,1,1000
1898,1kmE6542N2875,8961343,1,1000
1898,1kmE6543N2875,6268427,1,1000
1898,1kmE6543N2876,6268427,1,1000
1898,1kmE6543N2876,7649338,1,1000
1898,1kmE6613N2853,4432043,1,1000
1898,1kmE6993N2855,8779452,1,1000
1898,1kmE6994N2855,8779452,1,1000
1899,1kmE4946N2285,4431645,1,1000
1899,1kmE4946N2286,4431645,1,1000
1899,1kmE4947N2287,4431645,1,1000
1899,1kmE5073N3305,8016249,1,1000
1899,1kmE5178N3425,7859738,1,1000
1899,1kmE5216N3202,4458867,1,1000
1899,1kmE5217N3201,1096909,1,1000
1899,1kmE5217N3201,8196495,1,1000
1899,1kmE5217N3201,8338716,1,1000
1899,1kmE5217N3202,1126740,1,1000
1899,1kmE5217N3202,4431541,1,1000
1899,1kmE6521N3157,8796936,1,1000
1899,1kmE6612N2854,4432043,1,1000
1899,1kmE6718N2798,7878882,1,1000
1899,1kmE6993N2855,1119284,1,1000
1899,1kmE6993N2855,4458782,1,1000
1899,1kmE6993N2855,4459546,1,1000
1899,1kmE6993N2856,4458814,1,1000
1899,1kmE6994N2854,4459546,1,1000
1899,1kmE6994N2854,7538141,1,1000
1899,1kmE6994N2854,7576840,1,1000
1899,1kmE6994N2854,8196495,1,1000
1899,1kmE6994N2855,1096909,1,1000
1899,1kmE6994N2855,1119284,1,1000
1899,1kmE6994N2855,1129494,1,1000
1899,1kmE6994N2855,4458782,1,1000
1899,1kmE6994N2855,4459546,2,1000
1899,1kmE6994N2855,6097811,1,1000
1899,1kmE6994N2855,7538141,1,1000
1899,1kmE6994N2855,7704804,1,1000
1899,1kmE6994N2855,8316923,1,1000
1899,1kmE6994N2855,10480031,3,1000
1899,1kmE6994N2856,1096909,1,1000
1899,1kmE6995N2854,1096909,1,1000
1899,1kmE6995N2854,4458782,1,1000
1899,1kmE6995N2855,4458814,1,1000
1899,1kmE6995N2855,6097811,1,1000
1899,1kmE6995N2855,7576840,1,1000
1899,1kmE7021N2800,7878882,1,1000
1899,1kmE7021N2800,8401448,1,1000
1899,1kmE7021N2801,8401448,1,1000
1900,1kmE4790N3257,4458666,1,1000
1900,1kmE4790N3258,4458666,3,1000
1900,1kmE4791N3259,4458666,1,1000
1900,1kmE4813N3271,4458633,1,1000
